index,filename,true_class,predicted_class,feature_set,iteration
92,1883_Bjoernsen_Skibladner,O,CANON,embeddings,29
12,1899_HenningsenA_Glansbilledet,O,CANON,embeddings,30
143,1895_NormanHansen_DoktorTavsen,O,CANON,embeddings,31
172,1890_HansenJ_Skuespillere,O,CANON,embeddings,31
175,1881_Paulsen_NorskProvinsliv,O,CANON,embeddings,31
136,1897_JoergensenJ_DenYdersteDag,O,CANON,embeddings,31
63,1876_Paulsen_Sjoedronningen,O,CANON,embeddings,31
125,1894_BruunL_SvendFelding,O,CANON,embeddings,32
176,1880_Secher_Aegtemaend,O,CANON,embeddings,32
98,1895_Broendsted_FaedrenesSynd,O,CANON,embeddings,32
66,1898_Wied_Slaegten,O,CANON,embeddings,32
153,1892_PetersenM_KuedePlanter,O,CANON,embeddings,33
170,1894_Cavling_FraDeDybeDale,O,CANON,embeddings,33
195,1896_Obstfelder_Korset,O,CANON,embeddings,33
137,1895_Roth_PaaOpmaaling,O,CANON,embeddings,34
10,1893_JoergensenJ_LivetsTrae,O,CANON,embeddings,34
142,1894_Bierfreund_EnSommerdroem,O,CANON,embeddings,34
30,1895_LieM_EnDroemmersBog,O,CANON,embeddings,34
130,1899_HenningsenA_Stroemmen,O,CANON,embeddings,35
192,1889_Thorson_BagDisken,O,CANON,embeddings,35
184,1889_NielsenZ_Maagen,O,CANON,embeddings,36
66,1894_ChristiansenE_Hjarl,O,CANON,embeddings,36
55,1886_LieJ_KommandoerensDoettre,O,CANON,embeddings,36
72,1895_Mariager_Sparta,O,CANON,embeddings,37
161,1899_Thomsen_AfKainsSlaegt,O,CANON,embeddings,37
50,1882_LieJ_GaaPaa,O,CANON,embeddings,38
31,1896_BauditzS_Hjortholm,O,CANON,embeddings,38
200,1899_Kirkegaard_Provstinden,O,CANON,embeddings,38
158,1895_Kaarsberg_FolkenepaaNakkebjerg,O,CANON,embeddings,38
204,1871_Wolle_FraMinFoerstePraxis,O,CANON,embeddings,39
158,1898_BenzonP_Landsmaend,O,CANON,embeddings,39
65,1894_ChristiansenE_Hjarl,O,CANON,embeddings,39
102,1889_NielsenZ_Maagen,O,CANON,embeddings,40
200,1898_BenzonP_Landsmaend,O,CANON,embeddings,40
136,1894_ChristiansenE_Hjarl,O,CANON,embeddings,40
61,1899_FibigerM_AnninaHjelm,O,CANON,embeddings,40
45,1888_Solter_Forlovelser,O,CANON,embeddings,40
36,1896_EwaldC_CordtsSoen,O,CANON,embeddings,41
211,1895_Norrie_EnLoesgaenger,O,CANON,embeddings,41
49,1884_Winterhjelm_Intermezzoer,O,CANON,embeddings,42
11,1895_Nansen_GudsFred,O,CANON,embeddings,42
9,1897_Bergstroem_BrogedeBilleder,O,CANON,embeddings,42
63,1886_LieJ_KommandoerensDoettre,O,CANON,embeddings,42
64,1897_Alsted_Ly,O,CANON,embeddings,42
202,1889_Marer_VerdensSyvUndervaerkerOgAndreSmaating,O,CANON,embeddings,42
84,1898_Bierfreund_ForgangenNat,O,CANON,embeddings,43
182,1873_BruunC_FraEtHjoerneAfKirkegaarden,O,CANON,embeddings,43
147,1893_LieJ_Niobe,O,CANON,embeddings,43
89,1879_Lange_NytLiv,O,CANON,embeddings,43
95,1881_Reinhard_Ikaros,O,CANON,embeddings,44
176,1896_Jespersen_Ungdom,O,CANON,embeddings,44
85,1893_MoellerC_Navnefaettere,O,CANON,embeddings,45
100,1897_MadsenT_UnderKundskabensTrae,O,CANON,embeddings,45
77,1888_Bondesen_KarretenFraLoenneskov,O,CANON,embeddings,45
105,1899_LarsenK_IDetGamleVoldkvarter,O,CANON,embeddings,45
91,1880_Hansen_FraDannevirkeTilRosenvaenget,O,CANON,embeddings,46
110,1887_Vandel_Dobbeltgaengere,O,CANON,embeddings,46
127,1890_Schoeyen_DensvenskeNattergal,O,CANON,embeddings,46
208,1898_Bon_StoltenbergOgAndreSvende,O,CANON,embeddings,47
121,1894_BruunL_SvendFelding,O,CANON,embeddings,47
170,1895_Mariager_Sparta,O,CANON,embeddings,48
20,1892_Valseth_TidligHoest,O,CANON,embeddings,48
68,1899_Stuckenberg_Asmadaeus,O,CANON,embeddings,49
