filename,true_class,predicted_class,feature_set,iteration
1883_Winterhjelm_FritzRandel,O,CANON,embeddings,54
1882_HansenJH_Barbara,O,CANON,embeddings,55
1886_HansenJ_VedHoejvande,O,CANON,embeddings,55
1894_Muusmann_Bondekunstneren,O,CANON,embeddings,56
1894_Cavling_FraDeDybeDale,O,CANON,embeddings,56
1896_MoellerI_TabteToejler,O,CANON,embeddings,56
1898_Lunde_Midsommerbarnet,O,CANON,embeddings,57
1883_OestergaardV_EtAegteskabsHistorie,O,CANON,embeddings,57
1895_Malling_GuvernoerensFrue,O,CANON,embeddings,57
1892_Muusmann_PaaSolsiden,O,CANON,embeddings,58
1899_Roth_Provindsliv,O,CANON,embeddings,58
1895_Birck_Hellighed,O,CANON,embeddings,58
1899_HenningsenA_Stroemmen,O,CANON,embeddings,59
1889_Birck_AageEllerEbbe,O,CANON,embeddings,59
1897_IbsenA_FroekenStudent,O,CANON,embeddings,59
1883_OestergaardV_EtAegteskabsHistorie,O,CANON,embeddings,60
1892_JoergensenJ_Sommer,O,CANON,embeddings,60
1895_NormanHansen_DoktorTavsen,O,CANON,embeddings,60
1891_Nyblom_DigtogVirkelighed,O,CANON,embeddings,60
1888_Schjoerring_BeslaegtedeNaturer,O,CANON,embeddings,60
1891_Markman_PovlBreinum,O,CANON,embeddings,61
1898_Roerdam_PaaHoejskole,O,CANON,embeddings,61
1897_MadsenJF_Firkloeveret,O,CANON,embeddings,61
1870_Gerson_AfDetDagligeLiv,O,CANON,embeddings,63
1894_Hoem_AabyApotek,O,CANON,embeddings,63
1889_Trafall_DanskePeterssmuleHollandsreise,O,CANON,embeddings,63
1892_JoergensenJ_Sommer,O,CANON,embeddings,63
1897_NielsenZ_Mystisk,O,CANON,embeddings,63
1891_Paulsen_BrosefraBergenudenlands,O,CANON,embeddings,63
1887_HansenJ_KarenHav,O,CANON,embeddings,64
1892_Valseth_TidligHoest,O,CANON,embeddings,64
1897_EwaldC_JamesSingletonsStoreUdenlandsrejse,O,CANON,embeddings,64
1887_LieJ_EtSamliv,O,CANON,embeddings,64
1895_Betzonich_DonJuansEfteraar,O,CANON,embeddings,64
1880_Hertz_OndeStjaerner,O,CANON,embeddings,64
1871_MeyerE_Lystaendersken,O,CANON,embeddings,64
1895_Michaelis_Aebeloe,O,CANON,embeddings,65
1890_Finne_DoktorWangsBoern,O,CANON,embeddings,65
1888_Betzonich_SkibbrudneFolk,O,CANON,embeddings,66
1894_WormMueller_FireDage,O,CANON,embeddings,66
1889_NielsenZ_Maagen,O,CANON,embeddings,66
1898_Wied_Slaegten,O,CANON,embeddings,66
1887_JansonD_EnUngPige,O,CANON,embeddings,66
1890_Valseth_HotelHaukenaes,O,CANON,embeddings,67
1885_Mariager_MagthaverenPaaRhodos,O,CANON,embeddings,67
1895_Claussen_Kitty,O,CANON,embeddings,67
1894_Muusmann_Bondekunstneren,O,CANON,embeddings,67
1896_Norrie_UngeJunker,O,CANON,embeddings,67
1872_Heilmann_EnSangerinde,O,CANON,embeddings,67
1887_LieJ_EtSamliv,O,CANON,embeddings,67
1895_IbsenA_SoesterHelene,O,CANON,embeddings,68
1879_Lange_NytLiv,O,CANON,embeddings,68
1896_Birck_PastorSommer,O,CANON,embeddings,68
1879_Lange_NytLiv,O,CANON,embeddings,69
1896_MoellerC_FraRosenvaengetTilAmager,O,CANON,embeddings,70
1897_Janson_Mira,O,CANON,embeddings,70
1891_Reiserer_EnSergent,O,CANON,embeddings,70
1877_Hjelm_KoebenhavnskDemimondeLiv,O,CANON,embeddings,71
1889_ChristiansenE_Joppe,O,CANON,embeddings,71
1886_Winterhjelm_FarvelHansen,O,CANON,embeddings,71
